time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,19,18,18,10,8,0.4444,51.96
100,100.00,327,206,121,72,50,22,0.3056,175.78
200,200.00,935,509,426,124,80,44,0.3548,300.00
300,300.00,1906,1048,858,180,112,68,0.3778,420.36
400,400.00,3211,1762,1449,236,168,68,0.2881,536.94
500,500.00,4912,2769,2143,283,222,61,0.2155,670.15
600,600.00,6957,3803,3154,353,264,89,0.2521,791.64
700,700.00,9366,5021,4345,409,314,95,0.2323,919.95
800,800.00,12145,6550,5595,465,352,113,0.2430,1040.96
900,900.00,15286,8062,7224,523,362,161,0.3078,1162.02
999,999.00,18805,9857,8948,570,408,162,0.2842,1291.16
