time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,20,17,18,10,8,0.4444,51.96
100,100.00,339,333,6,76,75,1,0.0132,192.87
200,200.00,1010,993,17,128,126,2,0.0156,313.21
300,300.00,2028,1995,33,184,182,2,0.0109,432.67
400,400.00,3421,3354,67,247,242,5,0.0202,561.52
500,500.00,5153,5051,102,294,289,5,0.0170,686.95
600,600.00,7290,7158,132,350,347,3,0.0086,805.54
700,700.00,9749,9545,204,399,397,2,0.0050,932.90
800,800.00,12584,12341,243,465,461,4,0.0086,1052.57
900,900.00,15787,15452,335,522,514,8,0.0153,1174.35
999,999.00,19303,18934,369,580,575,5,0.0086,1294.30
