time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,19,18,18,10,8,0.4444,51.96
100,100.00,331,168,163,74,49,25,0.3378,182.48
200,200.00,946,442,504,127,84,43,0.3386,300.50
300,300.00,1920,887,1033,176,115,61,0.3466,424.62
400,400.00,3211,1315,1896,228,124,104,0.4561,546.90
500,500.00,4853,1976,2877,288,179,109,0.3785,665.66
600,600.00,6894,2763,4131,345,239,106,0.3072,788.23
700,700.00,9312,3702,5610,407,250,157,0.3857,918.48
800,800.00,12039,4581,7458,452,259,193,0.4270,1039.66
900,900.00,15066,5531,9535,524,288,236,0.4504,1169.23
999,999.00,18456,6775,11681,568,334,234,0.4120,1282.07
