time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,17,20,18,7,11,0.6111,51.96
100,100.00,307,229,78,65,51,14,0.2154,180.83
200,200.00,911,791,120,123,116,7,0.0569,301.99
300,300.00,1865,1697,168,172,170,2,0.0116,437.15
400,400.00,3181,2891,290,229,219,10,0.0437,550.73
500,500.00,4822,4296,526,287,276,11,0.0383,681.47
600,600.00,6851,6116,735,344,333,11,0.0320,796.74
700,700.00,9249,8175,1074,398,383,15,0.0377,927.74
800,800.00,11964,10469,1495,450,428,22,0.0489,1043.26
900,900.00,15101,13104,1997,516,494,22,0.0426,1170.13
999,999.00,18530,16185,2345,569,548,21,0.0369,1287.91
